X	Y	OBJECTID	COMPKEY	UNITID	UNITDESC	CONDITION	OWNERSHIP	CURRENT_STATUS	PRIMARYDISTRICTCD	SECONDARYDISTRICTCD	OVERRIDEYN	ELMNTKEY	COMPTYPE	SEGKEY	DISTANCE	WIDTH	UNITTYPE	MEASDIST	RECEIPT_NBR	PANDD_NBR	PANDD_NBR_START	PAIDAREA	SUBAREA	SIDE	PERSO_NBR	PS_CONFIGURATION	PAY_BY_PHONE	WIRELESS_CARRIER	MODEM	MODEL	CARD_READER	CATEGORY	OVERRIDECOMMENT	WKD_RATE1	WKD_START1	WKD_END1	WKD_RATE2	WKD_START2	WKD_END2	WKD_RATE3	WKD_START3	WKD_END3	SAT_RATE1	SAT_START1	SAT_END1	SAT_RATE2	SAT_START2	SAT_END2	SAT_RATE3	SAT_START3	SAT_END3	SUN_RATE1	SUN_START1	SUN_END1	SUN_RATE2	SUN_START2	SUN_END2	SUN_RATE3	SUN_START3	SUN_END3	START_TIME_WKD	END_TIME_WKD	START_TIME_SAT	END_TIME_SAT	START_TIME_SUN	END_TIME_SUN	PEAK_HOUR	SHAPE_LNG	SHAPE_LAT
-122.3121191	47.6589504	1454	529930	PSL-L059	15TH AVE NE 0420 BLOCK W SIDE ( 221) 221 FT N/O NE 42ND ST (NE15-42-19)                                                                                                                                                                                        	GOOD	SDOT	INSVC	DISTRICT4	 	N	2085	109	2033	237	16	PSL	221	L059	12059002	12059	University District	Core	W	1354	15806	86049	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3121191	47.6589504
-122.3120791	47.66046903	1562	529825	PSL-L060	15TH AVE NE 0430 BLOCK W SIDE ( 235) 235 FT N/O NE 43RD ST (NE15-43-21)                                                                                                                                                                                        	GOOD	SDOT	INSVC	DISTRICT4	 	N	47225	109	2034	251	16	PSL	235	L060	12060402	12060	University District	Core	W	1659	16089	86051	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM			7-9AM 3-7PM	-122.3120791	47.66046903
-122.3118221	47.66238235	528	529933	PSL-L062	15TH AVE NE 0450 BLOCK E SIDE ( 388) 388 FT N/O NE 45TH ST (NE15-45-36)                                                                                                                                                                                        	GOOD	SDOT	INSVC	DISTRICT4	 	N	25042	109	2035	410	-38	PSL	388	L062	12062104	12062	University District	Edge	E	2658	16092	86036	T-MOBILE	3G	REV1	 	DISPLAY		1	480	659	1	660	1079				1	480	659	1	660	1079													08AM	06PM	08AM	06PM			3-7PM	-122.3118221	47.66238235
-122.3120697	47.66264941	1448	529936	PSL-L064	15TH AVE NE 0450 BLOCK W SIDE ( 486) 486 FT N/O NE 45TH ST (NE15-45-43)                                                                                                                                                                                        	GOOD	SDOT	INSVC	DISTRICT4	 	N	25041	109	2035	507	24	PSL	486	L064	12064304	12064	University District	Edge	W	2657	16093	86053	T-MOBILE	3G	REV1	 	DISPLAY		1	480	659	1	660	1079				1	480	659	1	660	1079													08AM	06PM	08AM	06PM			7-9AM	-122.3120697	47.66264941
-122.3156473	47.65657706	1434	529938	PSL-L065	12TH AVE NE 0403 BLOCK W SIDE ( 109) 109 FT N/O NE CAMPUS WB PY (NE12-40-59)                                                                                                                                                                                   	GOOD	SDOT	INSVC	DISTRICT4	 	N	69485	109	1564	125	20	PSL	109	L065	12065002	12065	University District	Core	W	1354	15806	86025	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3156474	47.65657706
-122.3153562	47.66039638	32	529939	PSL-L067	12TH AVE NE 0430 BLOCK E SIDE ( 190) 190 FT N/O NE 43RD ST (NE12-43-16)                                                                                                                                                                                        	GOOD	SDOT	INSVC	DISTRICT4	 	N	1602	109	1567	210	-27	PSL	190	L067	12067002	12067	University District	Core	E	1354	15806	86026	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3153562	47.66039638
-122.3153443	47.66084804	20	529941	PSL-L068	12TH AVE NE 0430 BLOCK E SIDE ( 355) 355 FT N/O NE 43RD ST (NE12-43-32)                                                                                                                                                                                        	GOOD	SDOT	INSVC	DISTRICT4	 	N	1602	109	1567	375	-27	PSL	355	L068	12068102	12068	University District	Core	E	1354	15806	86028	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3153443	47.66084804
-122.3155652	47.66047556	1336	529954	PSL-L070	12TH AVE NE 0430 BLOCK W SIDE ( 215) 215 FT N/O NE 43RD ST (NE12-43-21)                                                                                                                                                                                        	GOOD	SDOT	INSVC	DISTRICT4	 	N	1601	109	1567	238	25	PSL	215	L070	12070002	12070	University District	Core	W	1354	15806	86029	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3155652	47.66047556
-122.3167923	47.65663135	1368	529959	PSL-L072	11TH AVE NE 0400 BLOCK W SIDE (  91) 91 FT N/O DEAD END 1 (NE11-40-63)                                                                                                                                                                                         	GOOD	SDOT	INSVC	DISTRICT4	 	N	24441	109	1404	96	22	PSL	91	L072	12072004	12072	University District	Edge	W	1737	15108	86157	T-MOBILE	3G	REV1	 	DISPLAY		1	480	659	1	660	1079				1	480	659	1	660	1079													08AM	06PM	08AM	06PM				-122.3167923	47.65663135
-122.3160619	47.65694503	1036	525923	PSL-L073	NE 41ST ST 0110 BLOCK N SIDE ( 141) 141 FT E/O 11TH AVE NE (NE41-11-10/12)                                                                                                                                                                                     	GOOD	SDOT	INSVC	DISTRICT4	 	N	39329	109	16754	156	28	PSL	141	L073	12073004	12073	University District	Edge	N	1737	15108	87240	T-MOBILE	3G	REV1	 	DISPLAY		1	480	659	1	660	1079				1	480	659	1	660	1079													08AM	06PM	08AM	06PM				-122.3160619	47.65694503
